[18:09:27] [INFO] received Windows console close event; shutting log-core down
[18:40:26] [INFO] received Windows console close event; shutting log-core down
[18:40:29] [INFO] received Windows console close event; shutting log-core down
[18:41:08] [INFO] received Windows console close event; shutting log-core down
[18:41:58] [INFO] received Windows console close event; shutting log-core down
[18:43:24] [INFO] received Windows console close event; shutting log-core down
[18:45:29] [INFO] received Windows console close event; shutting log-core down
[19:21:35] [INFO] received Windows console close event; shutting log-core down
[19:22:40] [INFO] received Windows console close event; shutting log-core down
[19:25:54] [INFO] received Windows console close event; shutting log-core down
[19:27:50] [INFO] received Windows console close event; shutting log-core down
[19:29:18] [INFO] received Windows console close event; shutting log-core down
[19:32:01] [INFO] received Windows console close event; shutting log-core down
[19:33:34] [INFO] received Windows console close event; shutting log-core down
[19:39:29] [INFO] received Windows console close event; shutting log-core down
[19:42:39] [INFO] received Windows console close event; shutting log-core down
[19:43:44] [INFO] received Windows console close event; shutting log-core down
[19:54:45] [INFO] received Windows console close event; shutting log-core down
[20:02:12] [INFO] received Windows console close event; shutting log-core down
[17:29:45] [INFO] received Windows console close event; shutting log-core down
[17:35:08] [INFO] received Windows console close event; shutting log-core down
[17:39:49] [INFO] received Windows console close event; shutting log-core down
[17:40:09] [INFO] received Windows console close event; shutting log-core down
[17:45:20] [INFO] received Windows console close event; shutting log-core down
[18:15:12] [INFO] received Windows console close event; shutting log-core down
[18:22:08] [INFO] received Windows console close event; shutting log-core down
[18:23:14] [INFO] received Windows console close event; shutting log-core down
[18:25:55] [INFO] received Windows console close event; shutting log-core down
[17:37:06] [INFO] received Windows console close event; shutting log-core down
[17:37:21] [INFO] received Windows console close event; shutting log-core down
[17:37:36] [INFO] received Windows console close event; shutting log-core down
[17:37:49] [INFO] received Windows console close event; shutting log-core down
[17:38:02] [INFO] received Windows console close event; shutting log-core down
[17:43:37] [INFO] received Windows console close event; shutting log-core down
[17:44:02] [INFO] received Windows console close event; shutting log-core down
[16:32:23] [INFO] received Windows console close event; shutting log-core down
[16:35:06] [INFO] received Windows console close event; shutting log-core down
[16:37:35] [INFO] received Windows console close event; shutting log-core down
[16:39:23] [INFO] received Windows console close event; shutting log-core down
[16:42:49] [INFO] received Windows console close event; shutting log-core down
[16:46:55] [INFO] received Windows console close event; shutting log-core down
[16:49:32] [INFO] received Windows console close event; shutting log-core down
[16:55:03] [INFO] received Windows console close event; shutting log-core down
[17:03:23] [INFO] received Windows console close event; shutting log-core down
[17:17:19] [INFO] received Windows console close event; shutting log-core down
[17:19:59] [INFO] received Windows console close event; shutting log-core down
[17:32:32] [INFO] received Windows console close event; shutting log-core down
[15:41:41] [INFO] received Windows console close event; shutting log-core down
[19:42:56] [INFO] received Windows console close event; shutting log-core down
[19:43:09] [INFO] received Windows console close event; shutting log-core down
[19:45:54] [INFO] received Windows console close event; shutting log-core down
[19:46:07] [INFO] received Windows console close event; shutting log-core down
[22:03:03] [INFO] received Windows console close event; shutting log-core down
[22:03:51] [INFO] received Windows console close event; shutting log-core down
[22:10:03] [INFO] received Windows console close event; shutting log-core down
[19:53:08] [INFO] received Windows console close event; shutting log-core down
[20:01:51] [INFO] received Windows console close event; shutting log-core down
[20:03:57] [INFO] received Windows console close event; shutting log-core down
[20:25:43] [INFO] received Windows console close event; shutting log-core down
[20:25:55] [INFO] received Windows console close event; shutting log-core down
[14:30:36] [INFO] received Windows console close event; shutting log-core down
[14:35:33] [INFO] received Windows console close event; shutting log-core down
[14:40:15] [INFO] received Windows console close event; shutting log-core down
[14:41:51] [INFO] received Windows console close event; shutting log-core down
[14:45:12] [INFO] received Windows console close event; shutting log-core down
[16:59:23] [INFO] received Windows console close event; shutting log-core down
[17:11:25] [INFO] received Windows console close event; shutting log-core down
[17:12:14] [INFO] received Windows console close event; shutting log-core down
[17:13:30] [INFO] received Windows console close event; shutting log-core down
[17:18:37] [INFO] received Windows console close event; shutting log-core down
[17:23:24] [INFO] received Windows console close event; shutting log-core down
[17:25:40] [INFO] received Windows console close event; shutting log-core down
[17:27:39] [INFO] received Windows console close event; shutting log-core down
[17:34:11] [INFO] received Windows console close event; shutting log-core down
[17:36:18] [INFO] received Windows console close event; shutting log-core down
[18:05:07] [INFO] received Windows console close event; shutting log-core down
[18:08:03] [INFO] received Windows console close event; shutting log-core down
[18:15:36] [INFO] received Windows console close event; shutting log-core down
[18:18:03] [INFO] received Windows console close event; shutting log-core down
[18:18:55] [INFO] received Windows console close event; shutting log-core down
[18:21:16] [INFO] received Windows console close event; shutting log-core down
[19:48:58] [INFO] received Windows console close event; shutting log-core down
